model,task_1Seconds,task_2Seconds,iscontrol,searchornot
GPT4o,1683.958,1306.352,0,1
GPT4o,813.008,582.001,0,1
GPT4o,747.237,874.697,0,1
GPT4o,1459.08,871.085,1,1
GPT4o,1371.626,612.373,1,1
GPT4o,817.378,676.26,0,1
GPT4o,1447.586,1136.843,1,1
GPT4o,775.911,772.317,1,1
GPT4o,1303.424,479.451,0,1
GPT4o,1232.853,668.976,1,1
GPT4o,2568.255,938.139,0,1
GPT4o,1904.05,1598.378,1,1
GPT4o,263.348,496.361,1,1
GPT4o,2478.46,2166.958,1,1
GPT4o,1744.317,581.531,0,1
GPT4o,1090.457,1296.18,0,1
GPT4o,1577.191,1708.448,1,1
GPT4o,2268.691,1446.633,0,1
GPT4o,856.335,583.311,0,1
GPT4o,1385.172,711.778,0,1
GPT4o,318.759,398.443,0,1
GPT4o,1411.736,854.019,0,1
GPT4o,2498.433,1162.899,1,1
GPT4o,990.565,760.016,1,1
GPT4o,2043.664,2079.412,0,1
mistral,568.289,592.247,1,1
mistral,523.295,581.716,1,1
mistral,1493.595,821.448,0,1
mistral,1993.371,1118.021,1,1
mistral,2169.683,743.523,1,1
mistral,1056.582,1333.787,1,1
mistral,1493.577,950.119,0,1
mistral,2185.349,1602.9,1,1
mistral,1814.898,1617.791,1,1
mistral,838.967,607.428,0,1
mistral,521.795,392.448,0,1
mistral,758.639,1165.645,1,1
mistral,1204.023,1471.16,0,1
mistral,978.871,1237.151,1,1
mistral,787.348,488.229,0,1
mistral,1650.194,951.032,1,1
mistral,1563.814,1710.669,0,1
mistral,957.409,879.134,0,1
mistral,964.305,646.676,1,1
mistral,1758.588,282.945,1,1
mistral,1497.057,1914.784,1,1
mistral,755.758,425.232,0,1
mistral,1021.405,564.09,1,1
mistral,2908.746,1135.978,1,1
mistral,1194.393,388.289,0,1
mistral,845.943,690.2,0,1
mistral,1170.239,765.905,0,1
mistral,736.222,529.391,0,1
mistral,775.118,764.416,0,1
mistral,789.251,826.027,0,1
mistral,161.049,244.974,0,1
mistral,1472.166,745.797,1,1
mistral,1221.573,441.389,0,1
mistral,566.676,512.057,0,1
mistral,1339.88,1341.012,0,1
mistral,794.383,603.567,1,1
mistral,496.281,359.167,0,1
mistral,1215.28,648.726,0,1
mistral,1610.421,1013.331,1,1
mistral,826.78,337.229,0,1
mistral,1591.993,1475.729,1,1
mistral,979.834,984.577,0,1
mistral,1109.314,847.697,0,1
mistral,590.574,483.064,0,1
mistral,520.39,316.964,0,1
mistral,615.731,212.674,1,1
mistral,1376.809,747.4,0,1
mistral,1202.802,485.605,0,1
mistral,1051.106,1017.07,0,1
mistral,758.629,269.02,0,1
mistral,1580.527,562.11,0,1
mistral,1044.228,496.248,1,1
mistral,991.749,513.784,1,1
mistral,2528.902,1784.017,1,1
mistral,1376.682,1041.634,0,1
mistral,1065.11,1249.919,1,1
mistral,1027.554,740.514,0,1
mistral,631.659,513.029,1,1
mistral,632.771,469.987,0,1
mistral,440.719,757.827,0,1
mistral,927.676,1042.455,0,1
mistral,1783.138,1295.873,1,1
mistral,542.421,508.869,1,1
mistral,1264.355,1739.845,1,1
mistral,705.174,1186.635,1,1
mistral,1700.783,750.413,0,1
mistral,787.843,1083.244,0,1
mistral,879.873,1079.007,0,1
mistral,1498.153,701.346,0,1
mistral,1227.994,736.836,1,1
mistral,1251.775,841.433,1,1
mistral,1254.968,567.227,1,1
mistral,1199.23,1659.523,1,1
mistral,882.664,569.136,0,1
mistral,2834.81,1398.956,1,1
mistral,1327.738,1487.021,0,1
mistral,1837.584,1782.201,1,1
mistral,2039.392,435.891,1,1
mistral,857.51,510.892,0,1
mistral,1245.851,878.049,0,1
mistral,2155.034,3105.828,0,1
mistral,2472.125,528.449,1,1
mistral,974.114,784.047,1,1
mistral,915.191,847.418,0,1
mistral,2889.77,1003.964,1,1
mistral,1530.414,964.678,0,1
mistral,1491.04,2498.899,1,1
mistral,873.77,983.159,1,1
mistral,909.971,1202.13,0,1
mistral,978.986,1036.505,0,1
mistral,1229.148,1735.436,1,1
mistral,741.201,568.493,0,1
mistral,541.532,564.896,0,1
mistral,1004.985,575.812,1,1
mistral,1058.852,845.819,0,1
mistral,1629.122,1139.941,1,1
mistral,1247.178,473.554,1,1
mistral,800.653,1010.444,1,1
mistral,600.429,247.851,1,1
mistral,1267.284,1648.573,0,1
mistral,475.198,226.574,0,1
mistral,1281.433,871.182,1,1
mistral,1296.441,601.7,0,1
mistral,878.249,533.077,0,1
mistral,1017.445,307.532,0,1
mistral,1862.343,1613.443,0,1
mistral,1143.575,596.995,1,1
mistral,2107.904,755.766,1,1
mistral,1035.836,479.511,0,1
mistral,949.663,1184.89,0,1
mistral,869.981,802.06,0,1
mistral,1622.912,1134.302,0,1
mistral,1341.971,1915.019,1,1
mistral,1657.328,3250.271,0,1
mistral,1177.463,1930.802,1,1
mistral,1447.159,1240.423,1,1
mistral,2444.146,1066.352,1,1
mistral,2461.078,1590.798,0,1
mistral,2068.443,1434.773,1,1
mistral,421.516,312.331,0,1
mistral,2069.766,1883.776,1,1
mistral,1494.046,714.158,1,1
mistral,5452.368,747.907,1,1
mistral,1220.547,617.991,1,1
mistral,881.75,730.161,1,1
mistral,480.599,481.835,0,1
mistral,593.426,791.763,1,1
mistral,785.678,1093.421,0,1
mistral,1022.598,435.121,0,1
mistral,878.56,889.315,1,1
mistral,1040.849,848.386,1,1
mistral,1660.607,1591.834,1,1
mistral,1584.478,1598.38,1,1
mistral,857.373,565.691,1,1
mistral,1151.163,1322.441,0,1
mistral,757.665,941.381,0,1
mistral,1029.575,1133.641,1,1
mistral,778.333,577.072,0,1
mistral,1612.616,961.629,0,1
mistral,1108.918,1050.002,0,1
mistral,1323.549,1607.121,1,1
mistral,318.919,452.861,0,1
mistral,1610.143,816.802,0,1
mistral,1656.683,1114.053,0,1
mistral,926.505,697.635,1,1
mistral,3080.493,1636.796,0,1
mistral,512.536,386.576,0,1
mistral,975.642,909.012,1,1
mistral,1263.938,1073.402,1,1
mistral,1833.756,586.283,0,1
mistral,391.55,907.537,0,1
mistral,1932.436,2102.456,0,1
mistral,1602.364,813.388,0,1
mistral,1733.512,936.867,1,1
mistral,1138.071,739.33,0,1
mistral,1943.77,916.905,1,1
mistral,1578.698,967.928,1,1
mistral,3362.077,1308.554,1,1
mistral,703.692,641.172,0,1
mistral,924.43,699.505,1,1
mistral,1932.673,1127.831,0,1
mistral,1381.133,412.537,1,1
mistral,1568.85,728.93,1,1
mistral,2165.158,1522.505,1,1
mistral,2283.231,1825.276,1,1
mistral,1163.858,1384.309,1,1
mistral,1249.484,936.492,0,1
mistral,2434.114,2582.254,0,1
mistral,655.938,473.481,0,1
mistral,1599.729,1216.186,0,1
mistral,1838.632,1166.882,0,1
mistral,1063.967,342.172,0,1
mistral,1452.237,1388.953,1,1
mistral,1801.058,1460.857,0,1
mistral,1923.499,1709.428,0,1
mistral,890.33,948.919,0,1
mistral,349.855,59.064,0,1
mistral,751.412,551.945,0,1
mistral,2182.104,1121.685,1,1
mistral,3608.814,924.352,1,1
mistral,2039.551,1587.057,1,1
mistral,4275.992,1791.131,0,1
mistral,922.183,658.598,1,1
mistral,1062.741,416.501,1,1
mistral,1640.218,2112.099,1,1
mistral,982.005,1049.199,0,1
mistral,744.181,1016.071,0,1
mistral,943.699,691.835,0,1
mistral,1858.658,1235.144,0,1
mistral,1396.777,1408.487,0,1
mistral,2394.148,665.994,1,1
mistral,1274.438,731.548,0,1
mistral,781.734,604.16,0,1
mistral,427.561,497.667,1,1
mistral,1141.335,1371,1,1
mistral,1096.686,656.474,1,1
mistral,779.111,824.514,1,1
mistral,1706.297,1074.248,0,1
mistral,1143.52,1033.307,1,1
mistral,943.678,791.408,1,1
mistral,795.197,646.433,0,1
mistral,421.315,185.213,0,1
mistral,346.221,149.86,0,1
mistral,717.353,704.278,0,1
mistral,573.893,518.629,0,1
mistral,1376.635,2006.816,0,1
mistral,1253.42,1092.729,0,1
mistral,1014.485,801.464,0,1
mistral,1075.54,738.576,1,1
mistral,1018.846,1469.88,0,1
mistral,1596.144,999.158,0,1
mistral,979.704,490.363,1,1
mistral,1663.149,788.806,1,1
mistral,3474.529,2305.288,1,1
mistral,3718.285,368.405,0,1
mistral,2292.198,1308.684,0,1
mistral,2448.951,952.652,1,1
mistral,780.334,614.13,1,1
mistral,2095.805,1516.469,1,1
mistral,2387.816,523.113,1,1
mistral,1673.907,524.453,0,1
mistral,2300.657,1289.874,1,1
mistral,1001.844,1703.739,1,1
mistral,1052.525,1059.112,0,1
mistral,978.209,913.272,1,1
mistral,1847.869,1062.484,1,1
mistral,3930.864,491.346,0,1
mistral,1699.769,763.973,0,1
mistral,2780.865,2280.898,1,1
mistral,1196.969,556.996,1,1
mistral,2525.585,1417.913,1,1
mistral,688.942,639.697,1,1
mistral,2346.876,805.834,1,1
mistral,1425.426,1284.859,1,1
mistral,2226.576,837.878,0,1
mistral,2007.939,1391.015,1,1
mistral,877.433,606.665,0,1
mistral,2167.841,512.279,1,1
mistral,969.055,1152.621,1,1
mistral,1743.704,1292.617,0,1
mistral,1614.452,1129.673,0,1
mistral,2253.637,645.059,1,1
mistral,1425.809,1178.328,1,1
mistral,1287.175,599.595,0,1
mistral,1408.511,1433.681,0,1
mistral,618.598,417.821,0,1
mistral,736.165,305.623,0,1
mistral,1303.173,504.367,1,1
mistral,454.522,475.701,1,1
mistral,659.099,916.436,1,1
mistral,1417.193,1245.497,1,1
mistral,1370.011,628.22,1,1
mistral,1578.36,1127.713,1,1
mistral,661.329,467.39,1,1
mistral,992.217,607.628,0,1
mistral,1949.14,1271.752,1,1
mistral,1530.572,1105.115,1,1
mistral,1469.607,2158.688,0,1
mistral,1181.743,800.098,0,1
mistral,1096.224,1034.561,0,1
mistral,317.736,67.826,1,1
mistral,1694.195,1121.614,1,1
mistral,887.803,563.31,1,1
mistral,1120.477,1200.501,1,1
mistral,2143.988,1667.652,1,1
mistral,1005.898,1048.776,1,1
mistral,1457.613,734.245,1,1
mistral,1560.319,2316.574,1,1
mistral,564.903,717.472,1,1
mistral,1315.625,269.813,0,1
mistral,871.175,959.185,1,1
mistral,684.506,540.02,1,1
mistral,619.264,777.999,1,1
mistral,3630.047,890.378,0,1
mistral,796.275,678.274,1,1
mistral,401.892,250.533,1,1
mistral,1543.355,692.065,0,1
mistral,1451.001,465.354,0,1
mistral,1035.909,829.454,1,1
mistral,506.941,355.524,0,1
mistral,1177.449,1017.653,0,1
mistral,1015.414,861.925,1,1
mistral,937.79,770.523,0,1
mistral,1274.061,703.212,1,1
mistral,1159.003,1174.211,1,1
mistral,2911.851,1456.877,1,1
mistral,867.128,476.275,1,1
mistral,1368.627,1488.016,0,1
mistral,1008.13,630.939,0,1
mistral,809.276,401.416,0,1
mistral,1069.435,667.751,0,1
mistral,1310.05,716.242,1,1
mistral,2376.356,1269.287,0,1
mistral,2073.787,983.492,0,1
mistral,986.766,619.668,1,1
mistral,1733.671,1943.593,1,1
mistral,545.275,111.351,0,1
mistral,1562.91,1130.337,0,1
mistral,653.002,699.626,0,1
mistral,1229.077,3013.056,0,1
mistral,2890.386,1686.734,1,1
mistral,787.983,934.253,0,1
mistral,1758.766,1178.684,1,1
mistral,1565.901,2053.708,0,1
mistral,752.331,708.672,1,1
mistral,1095.176,738.607,1,1
mistral,790.599,601.569,1,1
mistral,922.67,423.659,1,1
mistral,857.378,302.252,0,1
mistral,1049.17,1325.83,0,1
mistral,556.653,258.716,0,1
mistral,530.891,299.607,1,1
mistral,1778.287,1001.943,1,1
mistral,1000.581,1074.309,0,1
mistral,897.967,575.793,1,1
mistral,842.993,663.976,0,1
mistral,994.808,1289.772,0,1
mistral,1433.912,1512.48,0,1
mistral,1902.994,984.981,0,1
mistral,883.469,673.629,0,1
mistral,1090.026,1037.834,0,1
mistral,1448.017,827.923,1,1
mistral,4117.245,712.294,0,1
mistral,884.93,925.857,1,1
mistral,1351.48,820.871,0,1
mistral,4409.71,3438.101,1,1
mistral,630.769,742.935,0,1
mistral,2622.784,1061.381,1,1
mistral,1251.036,812.079,1,1
mistral,1281.959,1073.745,1,1
mistral,1305.575,1311.065,1,1
mistral,1417.375,439.406,1,1
mistral,1415.82,701.905,0,1
mistral,478.56,540.782,0,1
